first,second
FILTER_Mutect_multiallelic,-151.03946869260838
ref_len,-137.49487409760266
GERMQ_Mutect,-130.42785608413695
FILTER_Mutect_strand_bias,-127.58784115305313
alt_len,-120.05135609959008
ALTREF_I,-113.70513841267271
dust_score_5_Mutect,-110.42399216446955
SYMBOL_ASXL1,-91.57958128878425
dust_score_10_Mutect,-89.12759939776477
dust_score_Mutect,-84.11790800197461
FILTER_Mutect_haplotype,-82.88064761703586
VARIANT_CLASS_insertion,-53.2202908805593
VARIANT_CLASS_deletion,-50.19913811590241
refbias_Mutect,-36.384707032425666
gt_AD_ref_Mutect,-35.77193037908088
MFRL_Mutect_1,-26.681527881550082
FILTER_Mutect_clustered_events,-24.050031337075712
FILTER_Mutect_orientation,-19.696190299466895
pon_pvalue_Mutect,-18.829308626384904
SYMBOL_CHEK2,-16.70545099589373
SYMBOL_SRSF2,-14.321103146664818
SYMBOL_SF3B1,-13.918203328617848
altbias_Mutect,-13.67367977043153
ALTREF_AC,-11.65681246850348
SYMBOL_PPM1D,-11.146550512753802
VARIANT_CLASS_substitution,-10.285709416211073
ALTREF_CG,-9.87527192500226
FILTER_Mutect_position,-5.821338822089239
FILTER_Mutect_map_qual,-5.74679376651103
FILTER_Mutect_base_qual,-4.569886458405997
FILTER_Mutect_weak_evidence,-3.9343195653402807
SYMBOL_TP53,-3.478875878154663
RefFwd_Mutect,-0.054920467633597814
FILTER_Mutect_Not_Detected,0.0
FILTER_Mutect_germline,0.0
FILTER_Mutect_contamination,0.0
VARIANT_CLASS_indel,0.0
VARIANT_CLASS_RPL,0.0
VARIANT_CLASS_INV,0.0
VARIANT_CLASS_DUP:TANDEM,0.0
SYMBOL_JAK2,0.0
ALTREF_GT,0.628081942474349
AltRev_Mutect,2.8967786563288462
MMQ_Mutect_1,10.034188185517763
ALTREF_AT,12.057691522245591
RefRev_Mutect,15.286159273892256
ALTREF_CT,19.296238730360002
pass_homopolymer_filter,25.342489795603925
MMQ_Mutect_2,41.310601963792465
ROQ_Mutect,41.641589189748565
total_Mutect,42.877026269206226
MBQ_Mutect_1,43.61776301669295
total_greater_than_min_alt_count_Mutect,44.32228124459428
SYMBOL_DNMT3A,53.98999617509273
MBQ_Mutect_2,54.47511927511077
FILTER_Mutect_slippage,63.375812616593194
gt_AD_ref_Mutect_std,66.26144194261131
dust_score_3_Mutect,67.54814709511558
AltFwd_Mutect,81.57588880053798
MFRL_Mutect_2,94.82434531054828
gt_AD_alt_Mutect,96.27805234379667
SYMBOL_TET2,96.9805870438923
ALTREF_AG,103.0760286792145
FILTER_Mutect_PASS,107.59646114520706
VARIANT_CLASS_SNV,113.52595648078852
MPOS_Mutect,129.4122719706846
TLOD_Mutect,152.09793468600867
FPpass,162.29919413790617
gt_AD_alt_Mutect_std,199.46751238285776
gt_AF_Mutect,223.72645184432423
