first,second
VARIANT_CLASS_SNV,-14.638871841067132
FILTER_Lofreq_CALL,-11.09074266735673
gt_AD_alt_Lofreq,-8.688628687364245
FILTER_Lofreq_PASS,-5.004689836924843
SYMBOL_ASXL1,-4.939764183094587
ref_len,-4.580178172151528
SYMBOL_PPM1D,-4.190010694612708
ALTREF_GT,-3.871106464877601
ALTREF_CT,-3.7858168055578503
gt_AD_alt_Lofreq_std,-3.5756646290295344
pass_homopolymer_filter,-3.3049044534251273
SYMBOL_CHEK2,-3.2408639884152928
SYMBOL_SRSF2,-2.984586254328457
alt_len,-2.7259897339715358
ALTREF_AT,-2.6088315466438488
SYMBOL_DNMT3A,-2.588877326738158
altbias_Lofreq,-2.5318580224891876
refbias_Lofreq,-2.312847039366192
ALTREF_CG,-2.188374410457494
pon_pvalue_Lofreq,-2.0097170863418308
SYMBOL_TP53,-1.6383311370183438
total_greater_than_min_alt_count_Lofreq,-1.521237239725619
ALTREF_I,-1.4565606632144488
ALTREF_AG,-1.3191415555852426
dust_score_10_Lofreq,-1.2775159238821194
VARIANT_CLASS_deletion,-1.0668208624229023
ALTREF_AC,-0.8656010579450963
dust_score_5_Lofreq,-0.7676484853928249
RefRev_Lofreq,-0.6883202826806694
gt_AD_ref_Lofreq,-0.5094714509658245
VARIANT_CLASS_insertion,-0.3897398007915428
dust_score_Lofreq,-0.3298431097525176
SYMBOL_JAK2,-1.8807783442188512e-5
FILTER_Lofreq_Not_Detected,0.0
VARIANT_CLASS_substitution,0.0
VARIANT_CLASS_indel,0.0
VARIANT_CLASS_RPL,0.0
VARIANT_CLASS_INV,0.0
VARIANT_CLASS_DUP:TANDEM,0.0
total_Lofreq,0.04442748142616055
gt_AD_ref_Lofreq_std,0.06388149934038606
SYMBOL_TET2,0.11379923166410988
dust_score_3_Lofreq,1.140608585338311
AltRev_Lofreq,3.2718480647114285
SYMBOL_SF3B1,3.373220656045305
RefFwd_Lofreq,3.933152797096177
gt_AF_Lofreq,4.129215061788382
FPpass,8.478339010314665
AltFwd_Lofreq,9.712206628608001
QUAL_Lofreq,11.973138198925678
