first,second
VARIANT_CLASS_SNV,-7.632300242765048
FILTER_Vardict_PASS,-5.214194470079699
SYMBOL_ASXL1,-4.712280602806271
ref_len,-4.081421356224237
FILTER_Vardict_p8,-3.8396496481895053
ODDRATIO_Vardict,-3.690184004979383
alt_len,-3.2783986489608328
ALTREF_AT,-2.029246959772452
refbias_Vardict,-1.884129379394919
ALTREF_I,-1.6701755692190237
SYMBOL_PPM1D,-1.1693732757750965
ALTREF_CT,-1.0945453764152167
FPpass,-0.9645091899968884
pass_homopolymer_filter,-0.9002391118203373
gt_AD_ref_Vardict,-0.8527199260645384
SN_Vardict,-0.8187320469891635
SYMBOL_CHEK2,-0.8142868671157388
HICNT_Vardict,-0.8138763828290292
gt_AD_alt_Vardict,-0.8138763828290292
VARIANT_CLASS_insertion,-0.7134770490699676
gt_AD_alt_Vardict_std,-0.6546373692255496
dust_score_10_Vardict,-0.6183899033482058
pon_pvalue_Vardict,-0.5082955257150671
SBF_Vardict,-0.4841568864157618
HICOV_Vardict,-0.4534809629177644
dust_score_5_Vardict,-0.450071137733652
total_greater_than_min_alt_count_Vardict,-0.39975961718677616
NM_Vardict,-0.09245871686713945
SYMBOL_TP53,-0.06276387506873272
total_Vardict,-0.057748785342201035
dust_score_Vardict,-0.03466129049228965
SYMBOL_DNMT3A,-0.014573380448899454
RefRev_Vardict,-0.001047333173236678
altbias_Vardict,-0.0005407666222343919
FILTER_Vardict_pSTD,-0.0
FILTER_Vardict_Bias,-0.0
FILTER_Vardict_NM5_25,-0.0
VARIANT_CLASS_substitution,-0.0
VARIANT_CLASS_indel,-0.0
SYMBOL_SRSF2,-0.0
SYMBOL_JAK2,-0.0
ALTREF_GT,-0.0
FILTER_Vardict_Not_Detected,0.0
VARIANT_CLASS_RPL,0.0
VARIANT_CLASS_INV,0.0
VARIANT_CLASS_DUP:TANDEM,0.0
ALTREF_AC,0.0
dust_score_3_Vardict,0.00030483754792645087
AltRev_Vardict,0.009556702070970244
VARIANT_CLASS_deletion,0.009773873574072722
HIAF_Vardict,0.09808930556263373
ALTREF_CG,0.11024324266736082
gt_AF_Vardict,0.221410885140849
ADJAF_Vardict,0.23052854259907482
gt_AD_ref_Vardict_std,0.26902185974381587
SYMBOL_TET2,0.6712549598353017
SYMBOL_SF3B1,1.080680645003872
AltFwd_Vardict,1.1988437302566841
SHIFT3_Vardict,1.2176268508423915
ALTREF_AG,1.3209578322240434
RefFwd_Vardict,1.4988864467487963
PMEAN_Vardict,1.833366624814578
QUAL_Vardict,5.7726122975497915
